timestamp,open,high,low,close,volume
2024-04-05,902.9900,922.2500,858.8000,880.0800,207368662
2024-03-28,939.4100,967.6599,891.2300,903.5600,208706316
2024-03-22,903.8800,947.7799,850.1000,942.8900,288730166
2024-03-15,864.2900,919.6000,841.6600,878.3650,318695313
2024-03-08,841.3000,974.0000,834.1701,875.2800,346916427
2024-03-01,797.0000,823.0000,771.2500,822.7900,227521245
2024-02-23,719.4700,823.9400,662.4800,788.1700,308961934
2024-02-16,726.0000,746.1100,696.2000,726.1300,263665618
2024-02-09,682.2500,721.8500,663.0000,721.3300,270982292
2024-02-02,612.3200,666.0000,607.0000,661.6000,205898659
2024-01-26,600.4900,628.4900,585.8500,610.3100,217776321
2024-01-19,550.1800,595.0000,547.4000,594.9100,195912601
2024-01-12,495.1200,553.4600,494.7900,547.1000,289915809
2024-01-05,492.4400,495.4700,473.2000,490.9700,144948983
2023-12-29,489.6800,499.9700,487.5100,495.2200,111223461
2023-12-22,494.0000,504.3299,480.9800,488.3000,182654615
2023-12-15,474.9100,494.0400,458.3000,488.9000,220108613
2023-12-08,460.7700,477.4085,450.1000,475.0600,188709330
2023-12-01,478.0000,487.6200,461.8700,467.6500,207472104
2023-11-24,493.1200,505.4800,476.9000,477.7600,217717644
2023-11-17,483.2000,499.6000,480.9901,492.9800,194224007
2023-11-10,452.8450,484.7200,448.9900,483.3500,205355529
2023-11-03,410.8700,453.0899,392.3001,450.0500,217737120
2023-10-27,412.2900,436.9700,398.8019,405.0000,223615881
2023-10-20,450.6300,462.2500,410.7800,413.8700,279322538
2023-10-13,448.4200,476.0900,443.6800,454.6100,211314468
2023-10-06,440.3000,457.8900,432.4600,457.6200,209388772
2023-09-29,415.9100,441.4400,411.7700,434.9900,208880097
2023-09-22,427.4800,442.4200,409.8000,416.1000,217041499
2023-09-15,461.4800,461.6300,438.0800,439.0000,209850495
2023-09-08,482.2300,488.5081,451.5200,455.7200,175855198
2023-09-01,464.8200,499.2700,448.8800,485.0900,311419527
2023-08-25,444.9400,502.6600,442.2200,460.1800,431021097
2023-08-18,404.8600,452.6800,403.1100,432.9900,293041071
2023-08-11,451.1100,455.4000,406.3900,408.5500,228823660
2023-08-04,467.5400,471.3000,433.8700,446.8000,170821560
2023-07-28,447.3100,473.9500,440.4000,467.5000,188258767
2023-07-21,462.8900,478.9599,441.0000,443.0900,300981357
2023-07-14,426.5700,480.8800,416.4900,454.6900,238370821
2023-07-07,425.1700,432.1400,413.4600,425.0300,118184701
2023-06-30,424.6100,427.6400,401.0000,423.0200,252079794
2023-06-23,429.9800,439.9000,420.1500,422.0900,177863329
2023-06-16,392.0000,437.2100,386.1800,426.9200,296767798
2023-06-09,389.0900,397.1100,373.5600,387.7000,214231071
2023-06-02,405.9500,419.3800,378.2200,393.2700,304083207
2023-05-26,309.0100,394.8000,298.0600,389.4600,370797887
2023-05-19,285.0850,318.2800,281.5200,312.6400,239849888
2023-05-12,285.2200,292.2000,280.4600,283.4000,162556962
2023-05-05,278.4000,290.5844,272.4000,286.8000,203978999
2023-04-28,270.1300,277.5800,262.2500,277.4900,179168026
2023-04-21,265.6550,281.1000,264.3318,271.1900,204977780
2023-04-14,268.2300,277.9000,262.2000,267.5800,190519108
2023-04-06,275.0900,280.0000,263.9500,270.3700,167997621
2023-03-31,268.3700,278.3431,258.5000,277.7700,190927190
2023-03-24,256.1500,275.8900,251.2983,267.7900,279775289
2023-03-17,227.5200,263.9900,222.9700,257.2500,285477901
2023-03-10,238.9100,244.5400,227.2600,229.6500,244227914
2023-03-03,236.7000,239.0000,224.3200,238.9000,217145004
2023-02-24,210.0000,238.8800,204.2100,232.8600,263091019
2023-02-17,215.3800,230.4880,209.6200,213.8800,244949430
2023-02-10,208.0600,230.2000,207.8600,212.6500,275061045
2023-02-03,199.5000,219.4900,189.5000,211.0000,264074652
2023-01-27,180.6400,206.2800,178.1750,203.6500,263258120
2023-01-20,168.9900,178.7300,167.3100,178.3900,196862443
2023-01-13,152.8400,169.2200,151.4100,168.9900,224031287
2023-01-06,148.5100,150.1000,140.3400,148.5900,162681191
2022-12-30,150.7400,151.0000,138.8400,146.1400,148138178
2022-12-23,165.7200,166.2700,148.8200,152.0600,199669484
2022-12-16,170.3700,187.9000,164.1000,165.7100,256757869
2022-12-09,166.7900,175.8300,156.6700,170.0100,205813075
2022-12-02,160.2600,172.6500,155.2000,168.7600,201019987
2022-11-25,151.4700,165.2700,150.8000,162.7000,147278061
2022-11-18,162.1800,169.9800,151.2001,154.0900,292624000
2022-11-11,142.2800,163.8900,137.5901,163.2700,281607332
2022-11-04,137.7800,142.2900,129.5600,141.5600,270442650
2022-10-28,125.0800,138.5000,120.6400,138.3400,266262603
2022-10-21,115.1800,127.6900,115.1700,124.6600,302515886
2022-10-14,120.3700,121.2432,108.1300,112.2700,342230607
2022-10-07,123.4700,136.5600,120.2200,120.7600,295542592
2022-09-30,124.9100,128.2300,119.4601,121.3900,274201217
2022-09-23,130.1200,140.3100,122.5700,125.1600,332220263
2022-09-16,143.6900,145.4700,126.1700,131.9800,298199797
2022-09-09,137.3100,144.7400,133.4600,143.8700,215792858
2022-09-02,160.2000,163.3800,132.7021,136.4700,351962610
2022-08-26,174.9000,179.4700,162.3700,162.6000,284205795
2022-08-19,187.0100,191.6400,177.7000,178.4900,221273920
2022-08-12,175.0200,187.1800,167.2400,187.0900,323688899
2022-08-05,181.8200,192.7400,179.9000,189.8900,217986209
2022-07-29,170.1900,182.4400,164.7800,181.6300,235849535
2022-07-22,163.0200,181.4400,160.0200,173.1900,322714148
2022-07-15,155.2600,157.8200,144.6500,157.6200,226096048
2022-07-08,141.7500,160.3699,140.5500,158.3800,214214799
2022-07-01,173.1200,173.3000,143.9200,145.2300,263585963
2022-06-24,164.7450,171.4000,158.5300,171.2600,185691874
2022-06-17,160.0000,168.6800,153.2800,158.8000,281385119
2022-06-10,191.3900,193.3700,168.6900,169.7400,203579617
2022-06-03,189.8000,196.1900,181.2200,187.2000,245604791
2022-05-27,162.7400,188.8100,157.8000,188.1100,374452448
2022-05-20,175.0900,183.7100,157.5500,166.9400,301285160
2022-05-13,180.3400,182.5500,155.6700,177.0600,345526071
2022-05-06,185.4050,204.0000,179.9000,186.7500,295373268
2022-04-29,192.0200,201.2848,182.9000,185.4700,285674757
2022-04-22,212.0000,226.7037,195.0000,195.1500,278637532
2022-04-14,222.1400,227.7700,211.6300,212.5800,232350520
2022-04-08,267.2800,275.5800,230.6201,231.1900,261524425
2022-04-01,277.5550,289.4600,262.6700,267.1200,241864078
2022-03-25,265.0700,283.5800,255.7501,276.9200,308800038
2022-03-18,218.6900,265.6899,211.5901,264.5300,274860034
2022-03-11,228.1700,232.2000,206.5000,221.0000,229630425
2022-03-04,239.9200,246.6500,224.8200,229.3600,207612218
2022-02-25,230.3500,242.1700,208.9000,241.5700,246037257
2022-02-18,239.3400,265.8200,231.0000,236.4200,344670355
