timestamp,open,high,low,close,volume
2024-04-05,845.3700,845.3700,808.3300,830.1100,198998
2024-03-28,872.7200,872.7200,836.0400,846.4100,167687
2024-03-22,830.7500,889.0500,828.9600,874.3100,224264
2024-03-15,824.5100,847.7300,819.9800,830.4600,284763
2024-03-08,830.0000,858.9900,807.6200,825.0700,216591
2024-03-01,831.3000,851.2633,822.0800,830.0000,247852
2024-02-23,846.0000,850.0000,803.0850,829.2300,264733
2024-02-16,862.3900,864.9550,844.0100,846.0700,299040
2024-02-09,911.9100,911.9100,857.2800,865.0000,183861
2024-02-02,842.8200,909.5200,842.8200,909.5100,186013
2024-01-26,867.9300,877.6300,832.2000,842.8200,236235
2024-01-19,908.9500,914.8350,822.7700,858.6400,220495
2024-01-12,910.0000,924.6423,901.4200,909.7200,207473
2024-01-05,922.4600,942.0000,907.1200,907.1200,174923
2023-12-29,912.2900,961.9100,912.2900,928.4000,164349
2023-12-22,856.0000,929.2500,856.0000,910.1000,303747
2023-12-15,810.4900,890.0000,810.4900,856.0000,333323
2023-12-08,726.5800,821.9600,726.5800,806.2600,231788
2023-12-01,720.8400,735.5100,716.8000,726.5800,241901
2023-11-24,712.0000,735.9900,705.5000,725.0100,132840
2023-11-17,680.0000,710.5500,672.4750,710.0000,216135
2023-11-10,653.3500,684.9900,653.3500,680.0000,187224
2023-11-03,639.8000,656.3600,628.0000,653.0000,199059
2023-10-27,621.9500,650.6450,621.9500,634.0800,116305
2023-10-20,629.3800,639.9521,621.1800,622.6700,170368
2023-10-13,643.0000,670.0000,614.2200,621.5300,195354
2023-10-06,637.7200,648.7800,624.1400,642.1200,124059
2023-09-29,650.7500,656.8900,630.0500,636.3200,113059
2023-09-22,642.3300,670.6700,642.3300,655.2600,125698
2023-09-15,656.8000,682.2500,639.6600,644.4200,232714
2023-09-08,668.1300,684.8000,640.0000,652.8600,181205
2023-09-01,695.4000,703.3250,666.5700,668.6600,251608
2023-08-25,692.3100,701.6500,685.0722,694.6600,141439
2023-08-18,743.4300,743.4300,685.9500,695.9000,185308
2023-08-11,695.0000,745.5300,693.1300,741.6000,172764
2023-08-04,656.7600,731.9000,624.0500,695.0500,340898
2023-07-28,640.2600,658.1800,633.0000,657.0000,175836
2023-07-21,631.6700,648.1650,625.8800,639.7600,244671
2023-07-14,636.5200,642.9000,614.5100,629.0300,178567
2023-07-07,634.4900,647.0000,630.0421,633.2900,114367
2023-06-30,654.0700,654.0700,634.6100,636.0200,167681
2023-06-23,656.4800,680.7500,650.5800,654.0700,184900
2023-06-16,667.3400,670.0000,637.7850,656.4800,245723
2023-06-09,685.5100,692.3600,656.5200,666.1800,249868
2023-06-02,673.0400,693.9200,658.4450,692.2300,173844
2023-05-26,667.0000,678.2050,653.7101,673.0400,136449
2023-05-19,631.5400,669.4600,625.5600,664.3000,192683
2023-05-12,658.9300,666.8175,626.5401,632.0000,178463
2023-05-05,589.3200,694.2000,584.6900,655.8400,270124
2023-04-28,554.1900,593.5300,552.3601,589.4600,163140
2023-04-21,537.7500,555.7300,529.6800,551.3000,137414
2023-04-14,528.8900,539.4060,527.3700,535.8200,123580
2023-04-06,534.9900,540.6000,519.1400,530.6800,118691
2023-03-31,527.3200,541.9599,527.3200,535.0800,155439
2023-03-24,500.7800,525.2800,500.7800,525.2800,129641
2023-03-17,518.5700,534.4699,495.1100,498.2700,320447
2023-03-10,546.4100,552.2700,520.0316,523.6200,169678
2023-03-03,567.2800,579.8500,542.6000,549.9300,213088
2023-02-24,529.7400,576.0000,517.5800,564.7300,192672
2023-02-17,502.1000,530.4600,501.7500,530.4600,170221
2023-02-10,515.0500,520.9400,498.2400,502.7800,190114
2023-02-03,493.7300,529.4000,488.0100,516.3500,210119
2023-01-27,487.5100,505.6500,487.2200,497.3500,159719
2023-01-20,495.0100,502.2700,474.2800,483.4200,150220
2023-01-13,501.2800,506.1806,481.0000,494.5100,151977
2023-01-06,515.4100,517.4151,470.0000,500.0000,177636
2022-12-30,527.5800,530.2000,509.0500,512.3600,111848
2022-12-23,503.2400,524.9199,488.4201,522.8100,151477
2022-12-16,546.1400,555.8239,488.7900,499.2100,341257
2022-12-09,504.8800,543.9100,470.1600,541.4200,215320
2022-12-02,480.0800,511.5100,471.1017,508.0700,239647
2022-11-25,469.3100,485.1550,463.8900,479.9900,147025
2022-11-18,468.9900,475.9900,455.4700,466.4400,224232
2022-11-11,491.6400,493.0100,463.4500,468.9800,251361
2022-11-04,489.1600,496.5800,450.8500,491.6400,263189
2022-10-28,448.4900,500.6500,444.7000,492.0500,193121
2022-10-21,438.5500,448.1000,429.0700,444.3600,174766
2022-10-14,441.8300,458.6600,430.9600,433.3400,170736
2022-10-07,416.1000,444.5150,412.7100,439.4000,185218
2022-09-30,410.6500,425.8800,405.0300,411.7300,190404
2022-09-23,428.9700,438.9850,406.7500,413.5200,162970
2022-09-16,463.2000,471.1700,420.2097,432.4000,285037
