timestamp,open,high,low,close,volume
2024-04-05,1527.2500,1540.9800,1486.0300,1501.7200,1276722
2024-03-28,1568.0500,1569.9100,1503.0500,1511.9600,1147086
2024-03-22,1524.8100,1581.0000,1480.0400,1571.9900,1686022
2024-03-15,1525.6500,1583.4900,1496.4100,1499.5100,1937821
2024-03-08,1611.1100,1612.3375,1504.2200,1512.5000,2425115
2024-03-01,1625.0100,1667.8500,1577.7700,1612.7500,2340962
2024-02-23,1746.9900,1825.0000,1577.0000,1629.3200,3268437
2024-02-16,1740.1800,1792.5700,1669.0100,1768.7800,1512544
2024-02-09,1769.8200,1778.9700,1676.0100,1742.2600,2025315
2024-02-02,1796.9800,1800.0900,1705.3000,1772.9000,1511369
2024-01-26,1748.4500,1799.2700,1722.0000,1795.8000,1903668
2024-01-19,1658.5800,1735.7900,1615.2700,1726.1900,1785627
2024-01-12,1548.1800,1678.0000,1548.1800,1658.5800,1407442
2024-01-05,1562.6100,1562.6100,1483.6400,1538.8300,1365690
2023-12-29,1597.9000,1598.0000,1565.0100,1571.5400,704423
2023-12-22,1605.0000,1653.4200,1575.5700,1589.0800,1620278
2023-12-15,1575.1300,1631.7500,1571.0000,1606.1900,2051014
2023-12-08,1638.0700,1645.0000,1564.2100,1577.9800,1992212
2023-12-01,1550.0000,1660.0000,1545.9500,1652.0100,2609273
2023-11-24,1475.8000,1549.0000,1450.3100,1535.5000,1495817
2023-11-17,1374.0000,1485.9500,1355.0300,1448.0000,1949164
2023-11-10,1398.5900,1398.5900,1337.3400,1374.3900,1607458
2023-11-03,1221.4100,1393.7800,1205.7950,1387.7900,3519261
2023-10-27,1141.0400,1227.3100,1141.0400,1200.4500,1893441
2023-10-20,1233.0800,1249.9800,1144.3000,1169.6700,1752238
2023-10-13,1218.8300,1277.9900,1206.0200,1223.5000,1268744
2023-10-06,1255.5900,1281.4000,1190.0100,1237.5300,1575613
2023-09-29,1266.0000,1301.4950,1240.0100,1267.8800,1568631
2023-09-22,1376.1000,1400.7500,1274.3700,1276.9600,1974450
2023-09-15,1439.0000,1439.0000,1363.5050,1396.6600,2089508
2023-09-08,1415.2500,1451.5600,1402.0100,1428.1900,2370319
2023-09-01,1245.5300,1421.9300,1235.0000,1421.6400,2580410
2023-08-25,1207.9900,1277.6350,1202.0100,1237.8400,1876262
2023-08-18,1305.9100,1313.0000,1180.5800,1199.5900,2590367
2023-08-11,1315.3600,1388.3900,1290.0100,1330.0000,2920985
2023-08-04,1235.0300,1326.6100,1150.0100,1296.1600,4031637
2023-07-28,1221.0300,1228.1400,1167.2500,1225.0200,2428908
2023-07-21,1128.3000,1232.5768,1128.3000,1221.0300,3491566
2023-07-14,1108.0400,1153.9999,1063.0200,1135.7200,3298272
2023-07-07,1190.0000,1248.7700,1145.5000,1153.8200,2268318
2023-06-30,1220.9000,1239.0283,1154.5000,1184.6000,2386717
2023-06-23,1190.0000,1242.0000,1182.0000,1226.4900,2056211
2023-06-16,1209.0000,1254.7300,1189.0500,1194.7400,2431190
2023-06-09,1268.7100,1292.2800,1186.1101,1208.5500,2218755
2023-06-02,1297.2500,1301.9792,1221.0700,1270.6700,1845697
2023-05-26,1313.3300,1365.6399,1246.8100,1282.2600,2200465
2023-05-19,1289.9300,1336.1700,1268.0600,1310.8800,2175803
2023-05-12,1242.5500,1317.2799,1242.5500,1279.6700,2066258
2023-05-05,1263.2200,1336.8100,1196.1600,1243.5900,2926698
2023-04-28,1282.0000,1294.2749,1227.5800,1277.4900,1682430
2023-04-21,1301.5200,1337.7500,1268.1200,1281.9200,1271739
2023-04-14,1225.2200,1319.9800,1210.2900,1301.8800,1678824
2023-04-06,1305.0000,1329.4900,1207.7000,1245.0000,1476134
2023-03-31,1198.0000,1325.6677,1182.6000,1318.0600,2164808
2023-03-24,1197.2800,1236.0234,1163.8400,1187.2800,2009893
2023-03-17,1152.7800,1228.7700,1124.0200,1201.1500,2616166
2023-03-10,1233.0000,1273.8600,1143.6200,1168.0400,2619964
2023-03-03,1172.8400,1227.9700,1153.3700,1226.7400,2767368
2023-02-24,1094.9000,1181.7000,1085.1500,1156.8800,3150574
2023-02-17,1111.1600,1164.0000,1083.1010,1100.8700,1851590
2023-02-10,1168.7000,1194.6200,1097.8300,1104.9500,2414493
2023-02-03,1190.6200,1250.4817,1152.4800,1187.2500,3069335
2023-01-27,1097.6700,1233.2750,1073.1600,1221.2700,3027639
2023-01-20,1081.2700,1108.6000,1040.4676,1098.0900,2662548
2023-01-13,891.2600,1091.8500,881.9950,1082.9200,3557829
2023-01-06,867.5800,879.4200,815.8550,873.4700,1938746
2022-12-30,872.9900,874.3800,830.0100,846.2400,1579255
2022-12-23,844.2400,908.9900,843.5200,878.3200,2432499
2022-12-16,885.2800,942.0900,818.2200,843.9800,3361405
2022-12-09,933.1900,935.9400,845.0200,896.4800,2441993
2022-12-02,941.1000,957.0000,879.1050,945.0700,3020829
2022-11-25,948.4500,975.4600,915.7950,951.5700,1291167
2022-11-18,966.1600,1039.3900,910.8401,962.0800,3268983
2022-11-11,957.0000,1006.1800,896.0700,974.8900,3908917
2022-11-04,874.5500,1018.0000,840.0000,938.5700,4576204
2022-10-28,838.7400,881.9300,792.4570,881.7500,2892427
2022-10-21,793.7900,911.5200,793.7900,844.9000,3664750
